parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
112,14671.1,4.018716644822505,20.66589447489956,34.84769034803959,69.60743770264743,2,solrj,rf2_s1__,11,0.0007040500640869141--0.0018537044525146484--0.0021643638610839844--0.002380847930908203--0.002585172653198242--0.0027837753295898438--0.002985239028930664--0.0031921863555908203--0.003421306610107422--0.0036847591400146484--0.00397944450378418--0.004348039627075195--0.0048427581787109375--0.00554203987121582--0.006619691848754883--0.008412361145019531--0.010687828063964844--0.014157295227050781--0.01983356475830078--0.03274393081665039
128,14408.0,4.387389696561373,26.383262414198654,42.891401510972244,77.0417781976553,2,solrj,rf2_s1__,11,0.0008895397186279297--0.0019905567169189453--0.002295970916748047--0.0025310516357421875--0.002744436264038086--0.0029604434967041016--0.0031783580780029297--0.0034096240997314453--0.0036704540252685547--0.003968954086303711--0.004316806793212891--0.004748821258544922--0.005279064178466797--0.0060710906982421875--0.007469654083251953--0.009864330291748047--0.013056039810180664--0.017752647399902344--0.02521228790283203--0.04328346252441406
16,7840.8,1.9540521833631728,2.6530027389526367,3.025624487135145,22.11422390407986,2,solrj,rf2_s1__,11,0.0007276535034179688--0.0011861324310302734--0.0013556480407714844--0.0015170574188232422--0.0016350746154785156--0.0017230510711669922--0.0017993450164794922--0.0018701553344726562--0.0019443035125732422--0.002004384994506836--0.0020656585693359375--0.002133607864379883--0.0021953582763671875--0.00225067138671875--0.0023186206817626953--0.0023932456970214844--0.0024864673614501953--0.002625703811645508--0.0028045177459716797--0.0031280517578125
32,10214.9,2.7970426222857308,4.188930287080653,4.760531818165498,40.11919217951157,2,solrj,rf2_s1__,11,0.0007886886596679688--0.0015065670013427734--0.001735687255859375--0.0019121170043945312--0.0020635128021240234--0.0022122859954833984--0.0023615360260009766--0.00250244140625--0.002628326416015625--0.002765178680419922--0.002888202667236328--0.0030183792114257812--0.003130197525024414--0.003262042999267578--0.003416776657104492--0.0035626888275146484--0.0037381649017333984--0.003960371017456055--0.004279613494873047--0.0048236846923828125
48,11591.8,3.6499643325805664,6.151762008666992,7.91048526763916,43.21026802062988,2,solrj,rf2_s1__,11,0.0008394718170166016--0.0016698837280273438--0.0019371509552001953--0.0022306442260742188--0.0024912357330322266--0.002723217010498047--0.002930879592895508--0.003126859664916992--0.0033240318298339844--0.003521442413330078--0.0037102699279785156--0.003915071487426758--0.004129886627197266--0.004347801208496094--0.0046002864837646484--0.004864215850830078--0.005187034606933594--0.005624055862426758--0.006229400634765625--0.007306337356567383
64,12631.4,3.83497006965406,9.362751787359064,14.530983838168057,48.743182962591,2,solrj,rf2_s1__,11,0.00086212158203125--0.0016853809356689453--0.0019636154174804688--0.002227306365966797--0.002458810806274414--0.002681255340576172--0.0029091835021972656--0.0031468868255615234--0.0033609867095947266--0.0035886764526367188--0.0038483142852783203--0.004124641418457031--0.004453420639038086--0.004843235015869141--0.0053746700286865234--0.005997657775878906--0.006829500198364258--0.007822036743164062--0.009233713150024414--0.012123584747314453
80,13279.5,3.995360397711033,12.588463178495081,21.277197977391683,53.69305029148009,2,solrj,rf2_s1__,11,0.0008223056793212891--0.001809835433959961--0.0021054744720458984--0.0023491382598876953--0.002567291259765625--0.002790212631225586--0.0029935836791992188--0.003224611282348633--0.003466367721557617--0.0037271976470947266--0.004015207290649414--0.004366874694824219--0.004839420318603516--0.0054705142974853516--0.0062215328216552734--0.0071985721588134766--0.008489608764648438--0.010065793991088867--0.012415409088134766--0.017650604248046875
96,13973.6,4.051695064622528,16.26598834991455,28.243021089203502,62.22862126875897,2,solrj,rf2_s1__,11,0.0009732246398925781--0.001878499984741211--0.0021698474884033203--0.0023941993713378906--0.0025985240936279297--0.002798318862915039--0.0029981136322021484--0.0032196044921875--0.003462076187133789--0.003731250762939453--0.004054069519042969--0.0044248104095458984--0.004899740219116211--0.00562286376953125--0.006674051284790039--0.008139848709106445--0.010059595108032227--0.012214422225952148--0.015808582305908203--0.024381160736083984
