parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
11,2179.3,1.1121233304341633,3.0400355656941733,38.46999009450277,76.36892795562744,2,roundrobin,rf2_s1__,11,0.00046372413635253906--0.0006005764007568359--0.0006594657897949219--0.0007174015045166016--0.0007612705230712891--0.0008211135864257812--0.0008845329284667969--0.0009553432464599609--0.0010187625885009766--0.0010914802551269531--0.0011811256408691406--0.0012698173522949219--0.0013878345489501953--0.001505136489868164--0.0016474723815917969--0.001781463623046875--0.002001523971557617--0.0024514198303222656--0.0030426979064941406--0.06706833839416504
16,2573.1,1.1405804577995748,18.647179884069107,64.26602251389447,84.10556176129509,2,roundrobin,rf2_s1__,11,0.00039196014404296875--0.0005061626434326172--0.0005552768707275391--0.0006072521209716797--0.0006568431854248047--0.0007069110870361328--0.0008053779602050781--0.0008959770202636719--0.00098419189453125--0.0010895729064941406--0.0011949539184570312--0.0013387203216552734--0.0014493465423583984--0.0016131401062011719--0.001821279525756836--0.002033710479736328--0.0022535324096679688--0.002796649932861328--0.004256725311279297--0.08125710487365723
1,17.6,2.8870105743408203,66.81108474731445,102.53500938415527,165.8327579498291,2,roundrobin,rf2_s1__,11,0.0007612705230712891--0.0008730888366699219--0.0009143352508544922--0.0009438991546630859--0.0009806156158447266--0.0010235309600830078--0.0010716915130615234--0.0012998580932617188--0.001735687255859375--0.002432584762573242--0.005774021148681641--0.03860139846801758--0.04517817497253418--0.06016039848327637--0.073333740234375--0.09104132652282715--0.09783434867858887--0.11655282974243164--0.1336221694946289--0.20507001876831055
21,2145.2,1.663186333396218,66.29262187264182,81.05130629106002,88.18991617722945,2,roundrobin,rf2_s1__,11,0.000354766845703125--0.0005552768707275391--0.0006380081176757812--0.000732421875--0.0008113384246826172--0.0009050369262695312--0.0010182857513427734--0.0011818408966064453--0.0013439655303955078--0.0015180110931396484--0.0016994476318359375--0.0019309520721435547--0.002199888229370117--0.0024666786193847656--0.002834320068359375--0.0032205581665039062--0.00400233268737793--0.00561976432800293--0.07933831214904785--0.08507156372070312
