parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
100,13834.7,4.138545114166883,16.398977260200343,28.235776083809988,62.49130745323337,2,client,rf2_s1__,11,0.0008320808410644531--0.0018973350524902344--0.002216815948486328--0.0024480819702148438--0.00264739990234375--0.0028562545776367188--0.003070831298828125--0.00328826904296875--0.003515005111694336--0.0037865638732910156--0.0041010379791259766--0.0045282840728759766--0.005050182342529297--0.005816221237182617--0.0068471431732177734--0.008189916610717773--0.010038137435913086--0.01234126091003418--0.016086339950561523--0.02406930923461914
10,3837.5,2.4715553630482066,3.096472133289684,3.376050428910689,28.501597317782316,2,client,rf2_s1__,11,0.0010936260223388672--0.0015935897827148438--0.0018372535705566406--0.0020143985748291016--0.002147674560546875--0.0022690296173095703--0.002351522445678711--0.002450227737426758--0.002537965774536133--0.0026199817657470703--0.002713441848754883--0.0027854442596435547--0.0028541088104248047--0.002919435501098633--0.0029947757720947266--0.003065347671508789--0.0031545162200927734--0.003255128860473633--0.003395557403564453--0.003664731979370117
20,5933.6,2.172215779622396,2.8164068857828775,3.073326746622721,23.505767186482746,2,client,rf2_s1__,11,0.0009374618530273438--0.0013704299926757812--0.0015702247619628906--0.0017690658569335938--0.0018589496612548828--0.0019571781158447266--0.002035856246948242--0.002111673355102539--0.002183198928833008--0.0022592544555664062--0.0023255348205566406--0.0023872852325439453--0.0024483203887939453--0.0025119781494140625--0.0025780200958251953--0.002652406692504883--0.002744913101196289--0.0028600692749023438--0.0029969215393066406--0.003247499465942383
40,20449.9,2.8257029397147044,4.1688207596067395,5.29328982035319,39.95625556461395,2,client,rf2_s1__,11,0.0007939338684082031--0.0014607906341552734--0.0017199516296386719--0.0018856525421142578--0.002019643783569336--0.0021440982818603516--0.002259969711303711--0.0023713111877441406--0.002489328384399414--0.002614259719848633--0.0027425289154052734--0.0028781890869140625--0.003016233444213867--0.003178119659423828--0.003364086151123047--0.0035674571990966797--0.0038001537322998047--0.004069089889526367--0.004488229751586914--0.00519108772277832
50,10842.4,3.721252400824364,6.149834774910135,7.332715582340322,42.81659329191167,2,client,rf2_s1__,11,0.0008759498596191406--0.0017228126525878906--0.0020058155059814453--0.0022706985473632812--0.0025415420532226562--0.0027937889099121094--0.003031015396118164--0.003223896026611328--0.0034232139587402344--0.0036084651947021484--0.003804922103881836--0.003988742828369141--0.0041959285736083984--0.004420280456542969--0.00469517707824707--0.004956483840942383--0.0052642822265625--0.005635499954223633--0.006176948547363281--0.007157087326049805
60,12589.1,3.8049572803935066,7.990669031612208,11.9257637711822,53.12348584659764,2,client,rf2_s1__,11,0.0007977485656738281--0.0017125606536865234--0.002002239227294922--0.0022537708282470703--0.0025043487548828125--0.0027501583099365234--0.0029926300048828125--0.0032165050506591797--0.0034241676330566406--0.003628969192504883--0.0038483142852783203--0.004095554351806641--0.004381895065307617--0.004689455032348633--0.005028486251831055--0.00546574592590332--0.006050825119018555--0.006827354431152344--0.007984399795532227--0.010418176651000977
80,25783.5,3.954769026303122,10.635807159099173,16.329345973670904,52.27249903036348,2,client,rf2_s1__,11,0.0007469654083251953--0.0017745494842529297--0.0020856857299804688--0.0023283958435058594--0.0025489330291748047--0.0027742385864257812--0.0029876232147216797--0.0031960010528564453--0.0034356117248535156--0.0036873817443847656--0.003968000411987305--0.004252910614013672--0.004601478576660156--0.00502467155456543--0.005551338195800781--0.006283283233642578--0.007172346115112305--0.00848245620727539--0.010344743728637695--0.014230728149414062
90,13461.4,4.051425240256569,13.879483396356756,22.24729277870872,56.59443681890314,2,client,rf2_s1__,11,0.0009403228759765625--0.001848459243774414--0.002177715301513672--0.0023984909057617188--0.00260162353515625--0.00279998779296875--0.0030007362365722656--0.003226041793823242--0.003466367721557617--0.0037450790405273438--0.0040853023529052734--0.004438161849975586--0.004919767379760742--0.005475044250488281--0.006374359130859375--0.007570743560791016--0.009083986282348633--0.010826826095581055--0.01374053955078125--0.019278526306152344
