parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
1,484.4,1.1110305786132812,1.458287239074707,1.5898942947387695,2.028346061706543,2,client,rf2_s1__,11,0.0009398460388183594--0.0011773109436035156--0.0013930797576904297--0.0014815330505371094--0.0015544891357421875--0.0016226768493652344--0.0016837120056152344--0.001772165298461914--0.0019326210021972656--0.0020787715911865234--0.0022220611572265625--0.002371549606323242--0.002478361129760742--0.0025625228881835938--0.002627134323120117--0.002702951431274414--0.0027463436126708984--0.002786874771118164--0.002916574478149414--0.003179788589477539
3,1141.6,2.0220279693603516,3.151118755340576,3.358125686645508,7.182717323303223,2,client,rf2_s1__,11,0.0010786056518554688--0.00164031982421875--0.0018486976623535156--0.001962900161743164--0.002084970474243164--0.002214670181274414--0.0022821426391601562--0.002359151840209961--0.002419710159301758--0.0025663375854492188--0.0026984214782714844--0.0028400421142578125--0.0030622482299804688--0.0033295154571533203--0.003545045852661133--0.003693103790283203--0.0038743019104003906--0.0040225982666015625--0.0041887760162353516--0.004559993743896484
5,1419.9,2.6684204737345376,4.686594009399414,6.560762723286946,15.37481943766276,2,client,rf2_s1__,11,0.001276254653930664--0.0017349720001220703--0.0020003318786621094--0.0022640228271484375--0.0023517608642578125--0.0024938583374023438--0.0025882720947265625--0.002705097198486328--0.0028235912322998047--0.0029938220977783203--0.0031757354736328125--0.0034470558166503906--0.003757476806640625--0.0040285587310791016--0.00430607795715332--0.004636287689208984--0.0049076080322265625--0.005198955535888672--0.00557708740234375--0.0070726871490478516
7,1383.2,3.907531499862671,8.793771266937256,13.285547494888306,32.78261423110962,2,client,rf2_s1__,11,0.0011692047119140625--0.002026796340942383--0.0022962093353271484--0.0026848316192626953--0.0029189586639404297--0.0031752586364746094--0.003429412841796875--0.0036344528198242188--0.0038428306579589844--0.004145622253417969--0.004468202590942383--0.004777669906616211--0.005136728286743164--0.0053904056549072266--0.005848884582519531--0.006212949752807617--0.0066242218017578125--0.007254600524902344--0.008562803268432617--0.01523590087890625
9,1611.4,4.034161567687988,9.84652042388916,20.528817176818848,30.79545497894287,2,client,rf2_s1__,11,0.0012531280517578125--0.0018622875213623047--0.002209901809692383--0.0025424957275390625--0.0028238296508789062--0.003063678741455078--0.003270387649536133--0.0035936832427978516--0.0038542747497558594--0.004128694534301758--0.004472017288208008--0.004774808883666992--0.005132913589477539--0.0055315494537353516--0.006095170974731445--0.006678581237792969--0.00732874870300293--0.007963418960571289--0.010051965713500977--0.023830175399780273
