parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
1,425.8,1.189589500427246,1.8399953842163086,2.294778823852539,4.129648208618164,2,client,rf2_s1__,11,0.0009894371032714844--0.0011782646179199219--0.0013382434844970703--0.0015499591827392578--0.0017168521881103516--0.001844644546508789--0.0018799304962158203--0.0019576549530029297--0.0020775794982910156--0.002173900604248047--0.002379179000854492--0.0025506019592285156--0.002727031707763672--0.0028676986694335938--0.002974987030029297--0.0031647682189941406--0.003254413604736328--0.003371715545654297--0.003679990768432617--0.004589557647705078
3,1105.1,1.9090771675109863,3.2129883766174316,3.5454630851745605,7.762551307678223,2,client,rf2_s1__,11,0.001268148422241211--0.0015168190002441406--0.0016932487487792969--0.0018868446350097656--0.0019981861114501953--0.0020754337310791016--0.002157926559448242--0.0022461414337158203--0.0023140907287597656--0.0024116039276123047--0.0025522708892822266--0.0027763843536376953--0.0030364990234375--0.0032570362091064453--0.003511667251586914--0.003662586212158203--0.0038535594940185547--0.004042625427246094--0.004312276840209961--0.004715919494628906
5,1308.6,3.03041934967041,5.409280459086101,8.05958112080892,16.019145647684734,2,client,rf2_s1__,11,0.0012638568878173828--0.0018506050109863281--0.0021524429321289062--0.0023424625396728516--0.0025298595428466797--0.002681732177734375--0.0028874874114990234--0.0030167102813720703--0.0031735897064208984--0.003413677215576172--0.0035910606384277344--0.0038521289825439453--0.004155397415161133--0.004394054412841797--0.00472569465637207--0.004955768585205078--0.005235433578491211--0.005613803863525391--0.006052970886230469--0.009623289108276367
7,1433.4,3.504246473312378,6.659358739852905,14.452636241912842,27.75755524635315,2,client,rf2_s1__,11,0.001117706298828125--0.0018737316131591797--0.002196073532104492--0.002482891082763672--0.0026569366455078125--0.0028541088104248047--0.0030891895294189453--0.0032434463500976562--0.0034525394439697266--0.0037267208099365234--0.00399470329284668--0.0042574405670166016--0.004622936248779297--0.004988670349121094--0.005393028259277344--0.005773782730102539--0.00606846809387207--0.0066988468170166016--0.007563591003417969--0.012929439544677734
9,1452.8,4.3312788009643555,10.80174446105957,23.404836654663086,35.503530502319336,2,client,rf2_s1__,11,-0.029842853546142578--0.0020368099212646484--0.0024194717407226562--0.002852201461791992--0.003134489059448242--0.0033445358276367188--0.003652334213256836--0.003931522369384766--0.004163026809692383--0.004464626312255859--0.004808664321899414--0.005121707916259766--0.005543708801269531--0.00596308708190918--0.00637364387512207--0.006872653961181641--0.007529020309448242--0.008621454238891602--0.010995149612426758--0.026948213577270508
