parallel_requests,QPS,P50_latency(ms),P90_latency(ms),P95_latency(ms),P99_latency(ms),clustersize,query,rfshards,GROUP,fcts
1,1201.1,0.4355907440185547,0.6660223007202148,0.6902217864990234,1.1277198791503906,2,roundrobin,rf2_s1__,11,0.0005886554718017578--0.0006222724914550781--0.0006437301635742188--0.0006620883941650391--0.0006890296936035156--0.0007224082946777344--0.0007371902465820312--0.0007569789886474609--0.0007977485656738281--0.0008330345153808594--0.0008711814880371094--0.0008885860443115234--0.0009150505065917969--0.0009250640869140625--0.0009810924530029297--0.0010526180267333984--0.0011591911315917969--0.0012700557708740234--0.0013320446014404297--0.0013804435729980469
3,3279.3,0.641942024230957,0.9570121765136719,1.071333885192871,6.479382514953613,2,roundrobin,rf2_s1__,11,0.0004868507385253906--0.0005671977996826172--0.0006136894226074219--0.0006573200225830078--0.0006933212280273438--0.0007212162017822266--0.0007488727569580078--0.0007631778717041016--0.0007941722869873047--0.0008172988891601562--0.0008528232574462891--0.0008749961853027344--0.0009064674377441406--0.0009541511535644531--0.0009982585906982422--0.0010311603546142578--0.0010943412780761719--0.001180410385131836--0.0013072490692138672--0.0014407634735107422
5,2434.9,1.0265906651814778,1.8485387166341145,8.157054583231607,24.346232414245605,2,roundrobin,rf2_s1__,11,0.0005481243133544922--0.0007598400115966797--0.000850677490234375--0.0008990764617919922--0.0009441375732421875--0.0009884834289550781--0.0010433197021484375--0.0011010169982910156--0.0011487007141113281--0.0011909008026123047--0.0012257099151611328--0.0012874603271484375--0.001352071762084961--0.0014233589172363281--0.0015332698822021484--0.0016636848449707031--0.0017833709716796875--0.0019488334655761719--0.00220489501953125--0.0027158260345458984
7,2145.4,1.4293789863586426,2.687901258468628,15.56214690208435,49.26222562789917,2,roundrobin,rf2_s1__,11,0.0006225109100341797--0.0009276866912841797--0.0010156631469726562--0.001112222671508789--0.0011897087097167969--0.0012652873992919922--0.0013401508331298828--0.0014007091522216797--0.001476287841796875--0.001556396484375--0.00164794921875--0.001734018325805664--0.0018236637115478516--0.0019230842590332031--0.0020487308502197266--0.0021872520446777344--0.002371072769165039--0.0026862621307373047--0.0030775070190429688--0.004135847091674805
9,2030.3,1.5866994857788086,3.4601926803588867,31.58564567565918,55.47444820404053,2,roundrobin,rf2_s1__,11,0.0004968643188476562--0.0009217262268066406--0.0010361671447753906--0.001154184341430664--0.0012431144714355469--0.0013151168823242188--0.001392364501953125--0.0014700889587402344--0.0015497207641601562--0.0016422271728515625--0.0017573833465576172--0.0018572807312011719--0.0019800662994384766--0.002105712890625--0.0022559165954589844--0.002460002899169922--0.002688884735107422--0.0030269622802734375--0.003688812255859375--0.0061833858489990234
